	pTemra_001	pTemra_002	pTemra_003	pTemra_004	pTemra_005	pTemra_006
ENSG00000160188.L01	0	0	0	0	0	0
ENSG00000160191.L01	0.0820162	0.0827898	0.0829896	0.391638	0.365895	0.36866
ENSG00000160193.L01	5.35605	5.31446	5.3441	5.4188	5.36801	5.232
ENSG00000160194.L01	7.61312	7.66225	7.69439	8.64497	8.68767	8.73563
ENSG00000160199.L01	6.01523	6.07331	6.09537	5.31839	5.36424	5.40437
ENSG00000160200.L01	0.258629	0.257265	0.255991	0.190244	0.189374	0.191148
ENSG00000160201.L01	66.1884	69.1753	72.892	103.829	116.933	123.373
ENSG00000160202	0	0	0	0	0	0
ENSG00000160207.L01	0.0921308	0.0929876	0.093186	0.153248	0.154596	0.154851
ENSG00000160208	0	15.5633	0	0	15.6812	0
ENSG00000160208.L01	15.0845	0	15.2449	14.8761	0	15.0283
ENSG00000160211.L01	52.0295	49.2164	49.4935	63.4642	58.0333	58.452
ENSG00000160213.L01	28.5423	28.6095	28.7007	20.2637	19.8217	19.8381
ENSG00000160214.L01	4.47989	4.54273	4.45714	8.63915	8.62564	8.74533
ENSG00000160216.L01	26.8828	27.0999	26.4162	30.8393	30.6407	34.9125
ENSG00000160218.L01	96.8333	102.605	102.357	101.224	104.796	104.451
ENSG00000160219.L01	43.8922	43.1186	40.2064	52.2558	51.718	49.6643
ENSG00000160221.L01	30.5537	30.4574	29.5046	26.9495	26.8958	24.718
ENSG00000160223.L01	0.12429	0.124403	0.124238	0.131449	0.130679	0.131428
ENSG00000160224.L01	0.100118	0.0990519	0.0991042	0	0	0
ENSG00000160229.L01	2.40592	2.45798	2.5565	3.66233	3.72264	3.52783
ENSG00000160233	0.363877	0.362495	0.363103	0.134415	0.133612	0.134389
ENSG00000160255.L01	597.734	595.505	594.976	448.635	448.17	447.908
ENSG00000160256.L01	10.0501	9.88395	9.58075	8.17037	8.02251	8.02115
ENSG00000160282.L01	0.536948	0.53065	0.528498	0.829072	0.822359	0.825055
ENSG00000160284	0	0	6.23665	0	0	5.56006
ENSG00000160284.L01	6.33438	6.24859	0	5.61436	5.55338	0
ENSG00000160293.L01	0.910469	0.911725	0.917543	0.67056	0.668328	0.671252
ENSG00000160298.L01	2.98375	2.87053	2.87946	3.84233	3.78859	3.82109
ENSG00000160299.L01	23.4052	26.0315	26.2734	49.2564	56.3266	57.79
ENSG00000160305.L01	57.0301	44.7626	53.1231	98.157	70.7708	93.718
ENSG00000160307	0	0.596364	0.600363	0	0.0834891	0.0839588
ENSG00000160307.L01	0.703472	0	0	0.0827294	0	0
ENSG00000160310.L01	91.4255	91.8971	93.2703	58.9304	59.2672	59.9112
ENSG00000160321.L01	0.0763887	0.0783433	0.0790049	1.62506	1.65182	1.65264
ENSG00000160323.L01	0.834919	0.831189	0.890036	1.33096	1.26526	1.29997
ENSG00000160325.L01	2.05688	2.04368	2.05302	1.38476	1.37909	1.39407
ENSG00000160326.L01	5.66726	6.02965	4.82646	7.33466	7.34342	5.88932
ENSG00000160339	0	0	0	0	0	0
ENSG00000160345.L01	0.477953	0.474299	0.471277	0.488812	0.485118	0.485132
ENSG00000160349	0	0	0	0	0	0
ENSG00000160352.L01	1.99367	2.15074	2.06606	2.24933	2.29063	2.24216
ENSG00000160360.L01	0.450389	0.418177	0.439913	0.655162	0.840751	0.621643
ENSG00000160392.L01	9.24611	9.19167	9.18716	9.39805	9.36674	9.42579
ENSG00000160396	0	0	0	0.134814	0.134051	0.135618
ENSG00000160404.L01	22.9622	22.8073	22.7493	17.137	17.0108	17.0388
ENSG00000160410.L01	69.6356	66.5602	65.7487	89.181	89.5491	82.328
ENSG00000160445.L01	2.74437	2.77646	2.7606	2.20626	2.22676	2.21786
ENSG00000160445.L02	19.1474	19.2525	19.4539	14.8801	14.4936	14.563
ENSG00000160446.L01	32.3121	32.1382	32.1907	23.6309	23.5286	23.7916
ENSG00000160447.L01	2.81178	2.79778	2.89253	3.74235	3.74802	3.81768
ENSG00000160460.L01	0.0510925	0.0504626	0.0503564	0.0617353	0.0607789	0.0609908
ENSG00000160469.L01	1.41686	1.83431	2.44857	0.819257	0.815113	1.00238
ENSG00000160472	0	0	0	0	0	0
ENSG00000160505	0	0	0	0	0	0
ENSG00000160539	0	0	0	0	0	0
ENSG00000160551.L01	17.0897	17.468	17.5986	17.525	17.4727	17.578
ENSG00000160570.L01	63.034	61.3873	62.1618	47.5847	46.2246	46.997
ENSG00000160584.L01	17.8894	18.261	18.0239	37.5178	38.2269	38.6557
ENSG00000160588.L01	3.0949	3.34778	2.91219	7.09179	7.60467	6.0517
ENSG00000160593.L01	2.49821	2.52503	2.67747	4.32964	4.3885	4.58632
ENSG00000160602.L01	1.88745	1.88313	1.88435	3.17461	3.18777	3.21862
ENSG00000160606.L01	0.329002	0.328859	0.329105	0.109441	0.1099	0.110271
ENSG00000160613.L01	110.538	111.96	123.943	162.812	163.553	193.341
ENSG00000160633.L01	26.5907	26.6345	26.3977	43.0873	43.1105	42.9155
ENSG00000160654.L01	63.5435	64.9026	65.3958	80.3051	81.7199	82.1465
ENSG00000160678.L01	1.32139	1.32979	1.34163	0.398334	0.400339	0.406913
ENSG00000160679.L01	52.8506	49.6141	53.5058	62.1733	57.2648	63.8921
ENSG00000160683	0.0129962	0.0129658	0.0130365	0.0129935	0.0129734	0.0130961
ENSG00000160685.L01	29.0354	28.7982	28.8805	28.4117	28.1898	28.4715
ENSG00000160688.L01	24.5261	26.1706	26.3289	24.2723	27.7537	28.444
ENSG00000160695.L01	20.2395	19.8159	19.986	40.1523	39.9047	40.322
ENSG00000160703.L01	8.54068	8.39182	8.85189	5.98399	5.7952	6.09001
ENSG00000160710.L01	78.1458	79.1079	75.8904	105.413	106.915	91.761
ENSG00000160712.L01	0.0297768	0.0232093	0.0231514	0.0791964	0.0789997	0.0788222
ENSG00000160714.L01	50.889	51.3916	51.844	54.4742	55.0189	55.3824
ENSG00000160716	0.0709218	0.0711981	0.0716677	0.162615	0.163215	0.165093
ENSG00000160716.L01	0.259345	0.263409	0	0.710791	0.721266	0
ENSG00000160741.L01	48.9269	49.9696	49.7188	114.259	115.82	116.616
ENSG00000160746.L01	0.249062	0.380924	0	0.451089	0.802358	0.544491
ENSG00000160746.L02	3.50658	3.563	0.347721	3.14194	3.19183	0.953889
ENSG00000160746.L03	0	0	3.5624	0	0	3.1851
ENSG00000160752.L01	38.7681	39.6831	39.2894	39.6317	39.9927	40.2288
ENSG00000160752.L02	4.20849	4.28164	5.07616	6.55444	6.66447	7.93249
ENSG00000160753.L01	16.8979	16.834	16.8516	15.2126	15.53	15.6907
ENSG00000160766.L01	2.51972	2.44721	2.47558	1.43322	1.35052	1.49019
ENSG00000160767.L01	5.86576	5.8209	5.93867	5.1666	5.1483	5.19998
ENSG00000160781.L01	2.33484	2.28654	2.29761	1.28362	1.18829	1.20446
ENSG00000160785.L01	9.03993	8.54176	8.69203	11.1164	11.3749	11.212
ENSG00000160789.L01	9.49027	9.33693	9.42739	3.17932	3.0631	2.96012
ENSG00000160791.L01	8.3342	8.49442	8.56714	6.13229	6.25197	6.30169
ENSG00000160791.L02	0	0	0.133523	0	0	0
ENSG00000160796.L01	161.508	186.342	178.212	200.28	230.716	219.3
ENSG00000160799.L01	57.0014	57.057	56.7703	66.083	66.7073	66.0549
ENSG00000160801.L01	0	0	0	0	0	0
ENSG00000160803.L01	16.2868	16.1803	16.3265	15.4639	15.0193	15.2226
ENSG00000160808.L01	0	0	0	0	0	0
ENSG00000160813.L01	44.6621	37.1438	36.5583	39.0546	32.3893	32.0267
ENSG00000160818.L01	11.1875	11.3998	12.059	10.6446	10.964	11.4177
ENSG00000160838.L01	0	0	0	0	0	0
ENSG00000160862.L01	0	0	0	0	0	0
ENSG00000160867.L01	0.9894	0.985128	0.984674	0.339727	0.339817	0.336598
ENSG00000160868.L01	0.26021	0.264993	0.266437	0.35082	0.356471	0.357761
ENSG00000160870.L01	0.465137	0.436534	0.470382	1.24253	0.980008	0.840131
ENSG00000160870.L02	0.331065	0.339605	0.34297	0.673651	0.690844	0.693129
ENSG00000160877.L01	22.9931	22.5523	22.4476	19.0685	18.8963	18.9076
ENSG00000160882.L01	0.227533	0.229837	0.2316	0.156146	0.15762	0.159597
ENSG00000160883.L01	0	0	0	0.0308876	0.0306054	0.0307072
ENSG00000160886.L01	0	0	0	0	0	0
ENSG00000160888.L01	285.834	280.271	276.182	97.0328	94.6185	93.9186
ENSG00000160888.L02	330.972	351.281	346.295	107.143	119.767	119.101
ENSG00000160908.L01	69.9768	72.6851	79.2565	75.0492	80.5078	91.6677
ENSG00000160932.L01	157.306	156.057	156.146	192.714	191.607	193.094
ENSG00000160948.L01	98.5376	97.1627	97.0523	101.033	99.3957	99.4117
ENSG00000160949.L01	2.43718	2.41255	2.42741	2.2319	2.20904	2.24676
ENSG00000160951	0	0	0	0	0	0
ENSG00000160951.L01	0.523404	0.619844	0.626601	0	0	0
ENSG00000160953.L01	16.1481	16.5758	16.5615	14.6213	14.564	14.6185
ENSG00000160957.L01	2.26073	2.24317	2.43232	2.3862	2.35483	2.30026
ENSG00000160959.L01	26.6038	27.205	29.0033	16.8746	17.4432	20.2203
ENSG00000160961.L01	10.3062	10.4008	10.4838	11.9168	11.9897	12.1142
ENSG00000160963.L01	0	0	0	0	0	0
ENSG00000160972.L01	6.52506	6.41107	6.41146	5.36707	5.28717	5.36723
ENSG00000160972.L02	3.0667	2.72664	3.30978	4.47951	3.86768	4.48516
ENSG00000160973.L01	9.90993	9.85036	9.88054	11.1148	11.0296	11.144
ENSG00000160991.L01	13.5033	13.3951	13.4489	8.64662	8.56886	9.53133
ENSG00000160993	6.91064	6.84548	6.83861	6.85202	6.77975	6.8096
ENSG00000160994	0	0	0	0	0	0
ENSG00000160999.L01	0.41576	0.404861	0.397614	0.206189	0.200744	0.203871
ENSG00000161011.L01	97.0032	96.0788	95.7579	101.188	100.16	100.52
ENSG00000161013.L01	36.9832	38.0891	38.4421	40.4607	41.6158	41.1525
ENSG00000161016.L01	1298.15	1296.05	1288.23	1188.64	1186.8	1185.62
ENSG00000161031.L01	0	0	0	0.397628	0	0
ENSG00000161036.L01	6.48861	6.42188	6.43225	7.63532	7.55642	7.60785
ENSG00000161040.L01	0.0322311	0.0330456	0.0332864	0.111363	0.113866	0.114159
ENSG00000161048.L01	2.08139	2.13217	2.20825	2.79311	2.85012	2.80752
ENSG00000161055	0	0	0	0	0	0
ENSG00000161057.L01	35.5238	36.0769	39.1416	47.4838	48.2856	52.4727
ENSG00000161082.L01	0	0	0	0.193315	0.190072	0.190479
ENSG00000161091.L01	23.3581	23.2294	23.274	22.0314	21.9563	21.7812
ENSG00000161133	0	0	0	0.0555094	0.0563256	0.0567832
ENSG00000161149.L01	1.81366	1.82194	1.83024	1.24899	1.25635	1.26597
ENSG00000161179	0	27.3293	27.2142	0	20.2269	20.2598
ENSG00000161179.L01	27.733	0	0	20.3957	0	0
ENSG00000161180.L01	0.171241	0.17028	0.171261	0.207935	0.206995	0.209204
ENSG00000161202.L01	24.0157	22.4783	24.1547	38.1304	33.5965	38.3296
ENSG00000161203.L01	91.8158	91.8257	92.3331	93.9403	94.4194	95.1091
ENSG00000161204.L01	29.9574	32.4849	36.1487	45.5492	49.783	56.3369
ENSG00000161243.L01	0.0763409	0.0755571	0.0751651	0.08879	0.0886422	0.089334
ENSG00000161249.L01	10.2004	9.15536	9.49541	1.60622	1.60639	1.6078
ENSG00000161267.L01	9.20873	9.01429	9.05631	9.31817	9.2469	8.98378
ENSG00000161270.L01	0	0	0	0.0248001	0.0246794	0.0248259
ENSG00000161277.L01	0	0	2.07	0	0	0.911081
ENSG00000161281	0	0	0	0	0	0
ENSG00000161298.L01	1.28294	1.30777	1.31503	1.57077	1.56513	1.5602
ENSG00000161326	6.11876	6.14528	6.15871	7.60516	7.63126	7.65142
ENSG00000161328	0	0	1.76821	0	0	1.30444
ENSG00000161328.L01	1.84553	1.82647	0	1.30538	1.29216	0
ENSG00000161381.L01	12.9912	13.0467	12.9389	16.0143	16.0757	17.3394
ENSG00000161395.L01	18.2612	18.6592	19.2978	23.3171	23.3905	24.7877
ENSG00000161405.L01	48.7836	49.1545	49.5292	67.4696	68.1343	68.6163
ENSG00000161509.L01	0.664154	0.817908	0.810059	2.50237	2.9604	2.15675
ENSG00000161509.L02	1.02993	1.02447	0.664026	2.3136	2.29996	2.51495
ENSG00000161509.L03	0	0	1.02678	0	0	2.31624
ENSG00000161513.L01	5.52809	5.66876	5.93372	3.51369	3.52141	3.91717
ENSG00000161526.L01	57.6972	57.6729	58.0595	93.1189	91.1113	91.567
ENSG00000161533.L01	8.22494	8.22295	8.24131	8.68827	9.01727	9.06548
ENSG00000161542.L01	23.28	23.4602	23.4541	17.0212	17.1961	17.2089
ENSG00000161544.L01	0	0	0	0	0	0
ENSG00000161547.L01	305.788	310.565	311.879	290.36	297.822	297.962
ENSG00000161558.L01	6.48162	6.46397	6.28042	5.80208	5.75281	4.63915
ENSG00000161570.L01	0	2714.52	2723.88	0.476294	2295.52	2310.77
ENSG00000161570.L02	2705.57	0	0	2289.67	0	0
ENSG00000161572.L01	0	0	0	0	0	0
ENSG00000161573.L01	0.0939793	0.0954271	0.0962431	0.158668	0.161017	0.162534
ENSG00000161594.L01	0	0	0	0.0353129	0.0358559	0.0359996
ENSG00000161609.L01	0	0	0	0	0	0
ENSG00000161610	0.213339	0.209142	0.206444	0	0	0
ENSG00000161634	0	0	0	0	0	0
ENSG00000161638.L01	34.5283	36.1727	37.6825	59.1344	63.2451	72.0422
ENSG00000161642.L01	0.282458	0.284632	0.281834	0.663663	0.656554	0.65861
ENSG00000161643.L01	0.184723	0.184923	0.186067	0.293718	0.294187	0.297461
ENSG00000161643.L02	0.0407291	0	1.74212	0.129205	0	1.04925
ENSG00000161643.L03	1.2137	0	0	0.726286	0	0
ENSG00000161647.L01	0	0	0	0.0566038	0.0566974	0.0570313
ENSG00000161649.L01	0	0	0	0	0	0
ENSG00000161652.L01	0	0	0	0	0	0
ENSG00000161653.L01	0.468947	0.377539	0.378167	0.497495	0.493813	0.49679
ENSG00000161654.L01	16.8568	17.2552	17.2189	19.5028	19.807	19.9706
ENSG00000161664.L01	1.42366	1.41443	1.4197	1.65948	1.64864	1.6656
ENSG00000161664.L02	6.40651	5.79051	7.21931	7.73446	7.10856	9.16327
ENSG00000161671.L01	51.3041	50.7821	49.4718	41.9796	41.555	40.9781
ENSG00000161677.L01	0.953949	0.957606	23.885	2.15981	2.1732	17.6358
ENSG00000161677.L02	24.2442	23.9586	0	17.7174	17.5462	0
ENSG00000161682.L01	0.0261861	0.0255699	0.0253354	0.0657017	0.0639055	0.0638699
ENSG00000161692.L01	1.75643	1.76221	1.78515	1.87084	1.82263	1.64001
ENSG00000161714.L01	0.896597	0.893674	0.892197	0.514797	0.514964	0.521083
ENSG00000161791.L01	14.0581	14.4413	14.2838	10.3394	10.532	10.755
ENSG00000161798.L01	0	0	0	0	0	0
ENSG00000161800.L01	3.99312	4.84009	4.87758	4.10136	4.42088	4.44475
ENSG00000161807	0	0	0	0	0	0
ENSG00000161813.L01	6.4329	6.56675	6.60675	7.67236	7.77642	7.7837
ENSG00000161835.L01	12.6905	13.2404	12.6411	2.97431	3.59241	2.9522
ENSG00000161849	0	0	0	0	0	0
ENSG00000161850	0	0	0	0	0	0
ENSG00000161860.L01	0.879276	1.18785	1.70353	0.678764	0.919996	3.26381
ENSG00000161860.L02	1.77768	1.83011	0.601694	2.61494	2.71504	0.483351
ENSG00000161860.L03	0.592366	0.59747	0	0.472598	0.472017	0
ENSG00000161888.L01	0.422454	0.422052	0.424522	0.364932	0.366633	0.370865
ENSG00000161896	0	0	0	0.0225011	0.0225958	0.0228438
ENSG00000161904.L01	39.095	39.0221	38.5034	61.5794	60.6642	61.7946
ENSG00000161905.L01	0	0	0	0.0283439	0.02835	0.0285858
ENSG00000161911	0	0	0	0	0	0
ENSG00000161912.L01	1.06675	0	1.09735	2.56768	0	2.63361
ENSG00000161920.L01	11.1809	11.2349	12.2697	7.83976	7.88068	8.99797
ENSG00000161921.L01	0	0	0	0.403281	0.407238	0.408199
ENSG00000161929.L01	1.88646	2.05896	2.4246	1.39759	1.52245	2.18968
ENSG00000161929.L02	0.25395	0.257187	0.258622	0.296742	0.300076	0.30127
ENSG00000161940.L01	0.0383266	0.0385384	0.0387781	0.0195809	0.0196541	0.0198652
ENSG00000161944.L01	0	0	0	0	0	0
ENSG00000161973.L01	1.2417	1.23881	1.24616	0.339293	0.339084	0.341815
ENSG00000161980.L01	7.92261	7.31246	7.34252	5.91631	5.62119	5.6468
ENSG00000161981.L01	6.34761	6.37814	6.40448	6.50521	6.60328	6.64952
ENSG00000161992	0	0	0	0	0	0
ENSG00000161996.L01	3.27921	3.2738	3.23068	6.69006	6.61136	7.31389
ENSG00000161999.L01	27.9215	27.8332	27.8581	26.7155	26.5316	26.6848
ENSG00000162004.L01	6.44763	6.51782	6.56209	5.71455	5.76201	5.82298
ENSG00000162006.L01	0	0	0	0	0	0
ENSG00000162009.L01	0	0	0	0	0	0
ENSG00000162039.L01	0.920235	0.941083	0.946261	0	0	0
ENSG00000162040.L01	0	0	0	0	0	0
ENSG00000162062.L01	0.118029	0.116948	0.117329	0.228561	0.226876	0.229015
ENSG00000162063.L01	1.20953	1.2094	1.21492	0.855725	0.853197	0.863968
ENSG00000162063.L02	0.420152	0.421593	0	0.181527	0.183859	0
ENSG00000162068	0.0426784	0.0417359	0.0413764	0	0	0
ENSG00000162069.L01	0	0	0	0	0	0
ENSG00000162073.L01	3.16905	3.13721	3.10833	2.54386	2.53536	2.56075
ENSG00000162076.L01	12.9731	12.8016	12.8196	7.63301	7.53534	7.58149
ENSG00000162078	0	0	0	0.26284	0.264237	0.266508
ENSG00000162086.L01	20.0174	20.4558	26.4866	23.144	24.173	30.8923
ENSG00000162104.L01	15.8135	15.7622	15.4003	15.1702	15.6596	15.6551
ENSG00000162105.L01	0	0	0	0	0	0
ENSG00000162105.S01	0	0	0	0	0	0
ENSG00000162105.S02	0	0	0	0	0	0
ENSG00000162129.L01	2.44725	2.45635	2.71017	3.09976	3.09941	3.44995
ENSG00000162139.L01	7.81867	6.18449	6.40373	8.43581	7.36749	7.83571
ENSG00000162144.L01	25.3388	25.5061	25.7906	27.4696	27.6575	28.0263
ENSG00000162174.L01	1.89411	1.87913	1.81241	0.509497	0.506382	0.505348
ENSG00000162174.L02	1.1928	0	0	0.270235	0	0
ENSG00000162188	0	0	0	0.0865906	0.0872726	0.0884223
ENSG00000162191.L01	104.601	103.813	104.038	120.586	119.558	120.269
ENSG00000162222.L01	9.42143	9.646	9.68464	9.49126	9.61826	9.64152
ENSG00000162231.L01	131.845	132.38	132.738	125.644	126.78	126.967
ENSG00000162236.L01	24.6634	24.7799	24.9409	26.0965	26.267	26.5178
ENSG00000162241.L01	37.0501	37.0037	37.1404	35.1239	35.0669	35.4854
ENSG00000162244.L01	1018.91	1013.48	1015.38	860.579	857.598	857.785
ENSG00000162267.L01	0.0267146	0.0269	0.0270464	0.228089	0.229075	0.232082
ENSG00000162267.L02	0.196865	0	0.0851246	0.13794	0	0.0863829
ENSG00000162290.L01	12.9546	13.1591	13.458	21.9154	23.6103	22.8109
ENSG00000162300.L01	15.5798	15.484	15.4358	14.052	13.9602	13.9881
ENSG00000162302.L01	28.9776	28.659	28.6269	20.5091	20.2824	20.8609
ENSG00000162337.L01	0.0449499	0.0446315	0.0429865	0.247973	0.245703	0.248571
ENSG00000162341.L01	3.02657	2.70162	2.69799	4.00846	3.96309	3.90539
ENSG00000162344	0	0	0	0.0289076	0.0286388	0.028712
ENSG00000162365.L01	0	0	0	0	0	0
ENSG00000162366.L01	0	0	0	0	0	0
ENSG00000162367.L01	0	0	0	0	0	0
ENSG00000162368.L01	65.5789	66.984	67.0768	57.4629	58.058	57.6176
ENSG00000162373.L01	0	0	0	0.135475	0.134905	0.134631
ENSG00000162374.L01	0	0	0	0	0	0
ENSG00000162377.L01	0.400181	0.407769	0.911735	0.283692	0.288685	0.701051
ENSG00000162377.L02	1.84195	0.554687	1.80865	2.12111	0.532549	2.06554
ENSG00000162377.L03	0	1.85766	0	0	2.15268	0
ENSG00000162378.L01	2.38962	2.44902	2.46905	2.49875	2.50082	2.5127
ENSG00000162383.L01	13.6185	13.5438	13.6032	2.07577	2.06475	2.08587
ENSG00000162384.L01	26.5439	26.9457	27.0541	22.0205	22.1855	22.2702
ENSG00000162385	54.8802	55.522	55.503	41.6333	42.1201	41.8866
ENSG00000162390.L01	0.100863	0.100172	0.100187	0.19814	0.198124	0.199654
ENSG00000162391	0	0	0	0.0267959	0.0268946	0.0271875
ENSG00000162396	0.422617	0.42521	0.428934	0.41936	0.422339	0.427127
ENSG00000162398	0	0	2.02961	0	0	1.41963
ENSG00000162398.L01	2.29525	1.98492	0	1.78173	1.45262	0
ENSG00000162399	0.0335376	0.0336841	0.0339592	0.0349435	0.0351414	0.0354922
ENSG00000162402.L01	54.7919	55.8766	56.0223	143.245	146.256	145.173
ENSG00000162407.L01	0	0	0	0	0	0
ENSG00000162408.L01	5.88332	5.9755	6.0049	11.4522	11.978	12.0367
ENSG00000162409	0	0	0	0	0	0
ENSG00000162413.L01	17.3911	17.5692	17.6399	23.9729	24.2333	24.4388
ENSG00000162415.L01	1.46338	1.46358	1.48855	1.26491	1.29505	1.29105
ENSG00000162419.L01	7.71574	7.93248	8.00844	8.11265	8.23582	8.23785
ENSG00000162426.L01	0.605203	0.602648	0.599305	0.290127	0.287782	0.289249
ENSG00000162433.L01	0.312096	0.313575	0.313649	0.385759	0.381911	0.38008
ENSG00000162434.L01	135.217	137.649	138.69	141.207	143.647	144.455
ENSG00000162437.L01	1.2775	1.30844	1.3175	1.10828	1.1304	1.13359
ENSG00000162438.L01	1.12971	1.12833	1.1254	1.73085	1.73125	1.73445
ENSG00000162441.L01	11.8145	12.0664	12.3212	9.88159	10.1304	10.1748
ENSG00000162444	0	0	0	0	0	0
ENSG00000162456.L01	0	0	0	0	0	0
ENSG00000162458.L01	0	0	0	0.161296	0.160882	0.162885
ENSG00000162460.L01	0	0	0	0	0	0
ENSG00000162461.L01	0	1.04659	1.04582	0	1.08764	1.10092
ENSG00000162490.L01	0.819314	0.848479	0.856305	0.184419	0.190781	0.192984
ENSG00000162493.L01	0	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0
ENSG00000162496.L01	20.262	21.0103	21.0182	14.282	15.1992	15.3209
ENSG00000162510.L01	4.53066	5.02398	5.07937	5.94483	6.49099	7.64276
ENSG00000162510.L02	0.291954	0.292279	0.293838	0.21895	0.217821	0.219098
ENSG00000162511.L01	457.75	464.124	466.98	445.022	450.644	454.33
ENSG00000162512.L01	0.132948	0.132868	0.133164	0.141587	0.141536	0.14353
ENSG00000162517.L01	29.4477	29.5233	29.5154	26.8087	27.4219	29.004
ENSG00000162520.L01	3.51276	3.56303	3.60513	3.99474	4.04237	4.08725
ENSG00000162521.L01	49.127	50.0008	48.4717	47.9504	49.0968	47.111
ENSG00000162522.L01	0.116343	0.116801	0.117793	0.03295	0.0328313	0.0332282
ENSG00000162526.L01	0.121101	0.121938	0.122864	0.314251	0.316122	0.318822
ENSG00000162542.L01	11.1919	10.8953	10.9393	12.8869	13.0717	13.0584
ENSG00000162543	0	0.573692	0.579132	0	1.07901	1.08917
ENSG00000162543.L01	0.564668	0	0	1.06309	0	0
ENSG00000162543.L02	0.321272	0	0	1.66313	0	0
ENSG00000162545.L01	3.04043	3.04169	3.02838	5.91955	5.85304	5.82582
ENSG00000162551.L01	0	0	0	0	0	0
ENSG00000162552.L01	0	0	0	0	0	0
ENSG00000162571.L01	0	0	0	0	0	0
ENSG00000162576.L01	2.77382	2.77042	2.82975	3.84846	3.87013	3.96497
ENSG00000162576.L02	0.697411	0.695562	1.70447	0.691646	0.689354	2.37296
ENSG00000162576.L03	3.40446	3.35433	3.76203	3.79766	3.84732	3.87565
ENSG00000162591.L01	0.783711	0.757411	0.757824	2.86404	2.76383	2.62837
ENSG00000162592	0	0	0	0	0	0
ENSG00000162594	0	0	0	0	0	0
ENSG00000162595	0	0	0	0	0	0
ENSG00000162598.L01	0	0	0	0	0	0
ENSG00000162599.L01	1.64592	1.43691	1.44421	3.48245	3.51552	3.48345
ENSG00000162600.L01	0.947069	0.957609	0	1.39535	1.40909	0
ENSG00000162601.L01	21.5866	21.7684	21.9581	30.0735	30.3139	30.4073
ENSG00000162604.L01	18.3159	18.5682	18.8055	16.5073	16.7594	16.3267
ENSG00000162607.L01	11.5147	11.7726	11.8214	13.7509	14.0291	14.0083
ENSG00000162613.L01	44.125	51.8718	49.5144	53.6369	61.9933	58.6056
ENSG00000162614.L01	0.744191	0.757593	0.763989	0.60535	0.613157	0.61405
ENSG00000162618.L01	0	0	0	0	0	0
ENSG00000162620.L01	0.169624	0.173833	0.174379	0	0	0
ENSG00000162621	0.0149003	0.0152621	0.0153996	0	0	0
ENSG00000162623.L01	7.57581	7.76571	7.83178	6.29562	6.4355	6.44692
ENSG00000162624.L01	0	0	0	0	0	0
ENSG00000162627.L01	0	0	0	0.0559913	0.0573046	0.0574398
ENSG00000162630	0.086628	0.0890547	0.0897651	0.0560282	0.0574425	0.0575615
ENSG00000162631.L01	0	0	0	0.0188295	0.0192501	0.0193369
ENSG00000162636.L01	8.59892	8.80487	8.85092	13.4072	12.6555	12.5149
ENSG00000162639.L01	35.1967	35.8489	35.9812	29.7605	30.2071	30.2419
ENSG00000162642.L01	24.7285	24.7527	25.4341	44.5707	44.4703	45.808
ENSG00000162643.L01	2.05235	2.10166	2.08038	1.30233	1.33017	1.33468
ENSG00000162650.L01	7.79684	7.87825	7.51191	7.48378	8.04703	7.30993
ENSG00000162654.L01	20.5428	20.8563	22.1705	22.4207	22.0747	24.6745
ENSG00000162664.L01	10.4503	10.6624	12.3899	16.9842	17.172	20.0242
ENSG00000162669.L01	0.0338351	0.0348699	0.0351262	0	0	0
ENSG00000162670.L01	0	0	0	0	0	0
ENSG00000162676.L01	45.6168	45.5792	42.6156	46.8885	46.6965	41.5259
ENSG00000162687.L01	0	0	0	0	0	0
ENSG00000162688.L01	5.75563	5.94592	5.99177	6.83544	7.17716	7.18457
ENSG00000162692.L01	12.9701	13.2448	13.3559	3.53588	3.53427	3.55639
ENSG00000162694.L01	1.83322	1.88973	2.06033	2.91857	2.98486	3.02457
ENSG00000162695.L01	8.50319	7.96808	8.34333	15.4783	15.5125	16.888
ENSG00000162702.L01	8.37717	8.5188	8.6131	9.56183	9.69111	9.7629
ENSG00000162704.L01	59.021	60.2233	60.5019	42.6773	43.4984	43.5094
ENSG00000162711.L01	0.62912	0.632904	0.637279	0.407669	0.409719	0.413812
ENSG00000162714.L01	11.8268	11.6753	11.6511	9.57164	9.42944	9.505
ENSG00000162723.L01	0.140976	0.142838	0.144236	0	0	0
ENSG00000162727	0	0	0	0	0	0
ENSG00000162728	0.0126828	0.0126708	0.0127279	0.10601	0.105829	0.1065
ENSG00000162729.L01	25.3625	25.3172	25.0567	23.1109	22.9894	22.271
ENSG00000162733.L01	0.296753	0.304832	0.3037	0.58076	0.595987	0.595107
ENSG00000162734.L01	23.8181	23.9901	24.2161	15.291	15.437	15.6116
ENSG00000162736.L01	52.7728	53.3614	53.7932	56.1753	56.6821	57.0882
ENSG00000162738.L01	0.0139554	0.0140221	0.0140768	0	0	0
ENSG00000162739.L01	98.3025	99.5989	100.465	58.7916	59.3105	59.7542
ENSG00000162745.L01	0	0	0	0	0	0
ENSG00000162746.L01	4.70019	4.67	4.62143	2.19703	2.16231	2.15728
ENSG00000162753.L01	0	0	0	0	0	0
ENSG00000162755.L01	0	0	0	0	0	0
